@relation 'twitter'
@attribute 'klout_score' {1,2,3,4,5}
@attribute 'followers_count' numeric
@attribute 'friends_count' numeric
@attribute 'retweet_count' numeric
@attribute 'favorite_count' numeric
@attribute 'statuses_count' numeric
@attribute 'default_profile_image' {1,0}
@data
4,337850,9686,57,88,27321,0
4,137776,880,4,14,15029,0
3,406,455,0,0,9964,0
4,750200,455650,303,340,9430,0
3,389,787,0,0,29985,0
3,38202,618,8,33,4852,0
3,46177,19016,5,20,63369,0
2,1012,765,0,0,3795,0
2,592,998,0,0,9001,0
2,335,350,0,1,13949,0
2,575,409,0,0,16210,0
5,8012432,202,20570,21678,1028,0
2,1715,2122,0,0,156641,0
2,376,276,0,0,8257,0
3,962,700,0,0,14003,0
4,23931,311,0,1,13048,0
4,452281,1340,19,21,32646,0
3,53387,3,9,23,583,0
5,293520,147,75,122,56308,0
3,49652,390,27,77,6005,0
5,879353,604,22,46,112304,0
1,612,651,0,0,14515,0
2,1294,874,0,1,39619,0
2,1043,1156,0,0,25580,0
3,853,388,0,0,34453,0
1,191,326,0,0,2355,0
1,486,764,0,0,8863,0
4,4640323,6973,1566,1670,32105,0
4,509058,1031,49,548,14919,0
2,4765,3321,0,1,36617,0
1,198,229,0,0,15658,0
3,8972,386,39,28,568,0
2,722,417,0,0,38548,0
3,105823,4,605,810,445,0
3,2966,2297,0,0,96083,0
2,355,300,0,0,12862,0
2,466,442,0,0,15562,0
2,7260,1687,0,0,1346,0
3,1395,748,0,0,37153,0
4,135749,2072,156,273,129882,0
4,87494,1,74,235,4769,0
2,1595,831,0,0,48750,0
2,463,552,1,4,826,0
5,172662,403,19,45,66484,0
2,465,481,0,0,7504,0
3,1142,675,0,0,15090,0
3,335,246,0,0,13184,0
4,257481,43,81,149,2202,0
3,1096,882,0,0,44845,0
3,1362,490,1,1,6340,0
1,181,173,0,1,1281,0
1,225,314,0,0,2785,0
2,1898,1784,0,0,58646,0
4,482706,2006,265,596,53359,0
3,2934,2084,0,0,136968,0
3,71034,0,8,8,9616,0
4,24565,1591,1,2,4512,0
3,3938,2764,0,0,19911,0
4,1098613,1869,763,751,18211,0
3,2517,1181,0,0,103833,0
2,983,854,0,0,13242,0
5,337034,31335,60,218,49984,0
1,415,349,0,0,6143,0
