@relation 'twitter'
@attribute 'klout_score' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100}
@attribute 'followers_count' numeric
@attribute 'friends_count' numeric
@attribute 'retweet_count' numeric
@attribute 'favorite_count' numeric
@attribute 'statuses_count' numeric
@attribute 'default_profile_image' {1,0}
@data
61,50728,1584,3,5,19961,0
53,14829,13218,2,1,7215,0
54,8549,1586,1,1,4416,0
51,19536,486,1,3,3755,0
40,4791,267,0,0,981,0
60,35806,846,0,0,9745,0
62,50901,1166,2,3,8308,0
46,28284,3358,0,0,4674,0
50,4383,528,2,1,1929,0
65,18312,382,0,2,26227,0
65,339205,133,214,305,918,0
84,12660152,1165,2464,9459,9760,0
20,648,475,0,0,23456,0
22,241,322,3,1,1386,0
36,744,905,0,0,46224,0
18,255,410,0,0,1892,0
24,15853,1,0,0,0,0
65,45244,1056,43,43,49200,0
46,427,285,0,0,1446,0
14,51,136,0,0,26,0
39,1581,847,0,0,43319,0
54,9659,192,27,51,14961,0
56,8913,559,0,0,820,0
71,219007,886,6,15,4028,0
62,16381,505,11,26,3,0
97,2956524,3397,54,125,47804,0
80,266199,1485,9,20,44333,0
32,520,502,0,0,2430,0
25,613,382,0,0,10460,0
80,448169,585,33,52,21811,0
35,901,1866,0,0,14206,0
28,1014,363,0,0,35813,0
29,426,693,0,0,17111,0
67,183472,50,1020,2160,2266,0
19,252,237,0,1,2112,0
47,1178,626,0,1,8070,0
54,16460,4125,2,6,14211,0
46,7398,318,0,2,945,0
77,391146,2,3272,3915,756,0
51,4533,242,1,3,11142,0
47,3800,323,3,5,26700,0
79,488601,790,4544,6405,202,0
43,858,183,0,0,36223,0
62,71831,1360,2,7,9185,0
73,65233,11524,11,24,56230,0
48,641,535,0,0,37031,0
50,18941,17045,1,3,2766,0
34,501,381,2,3,479,0
35,2413,1673,0,0,88621,0
51,8917,301,0,1,15356,0
52,16542,879,0,3,6034,0
39,387,417,0,0,7108,0
24,255,366,0,0,5336,0
37,490,1415,1,1,714,0
78,334711,457,13,24,13610,0
79,180314,273,3,3,5375,0
83,5721090,5,2220,4792,2904,0
43,9148,645,0,0,5068,0
29,392,305,0,0,1106,0
59,38015,140,2,4,2097,0
30,6866,525,0,0,5288,0
47,11588,1036,2,0,78823,0
26,243,168,0,0,1035,0
57,4860,5345,0,0,12110,0
34,1105,683,0,0,5267,0
60,135568,240,433,577,1612,0
64,211474,4,370,731,2726,0
51,21602,3164,1,2,6205,0
99,21928681,986,75,109,209668,0
93,22607665,1602,2196,2985,70516,0
72,610567,341,11,36,29239,0
85,1008745,852,18,26,65023,0
86,350305,1638,5,13,17440,0
78,208178,658,5,12,2463,0
82,435306,2330,7,12,21417,0
93,2924662,1029,24,59,51975,0
32,623,1340,1,1,2186,0
55,848,2021,0,1,1039,0
69,692590,77,5,10,26769,0
24,245,334,0,0,7058,0
67,470224,1916,13,17,49879,0
63,4551,184,0,0,17196,0
80,190690,2933,14,39,37035,0
69,462505,688,1,4,54457,0
68,537719,234,33,51,1708,0
82,731784,468,53,72,10983,0
80,273770,532,4,6,13436,0
79,970250,10811,33,115,34869,0
44,1352,195,3,8,8711,0
37,2521,2284,0,1,562,0
24,331,527,0,0,201,0
43,4209,715,1,4,2943,0
43,3373,45,3,2,70,0
56,57727,1455,8,24,8124,0
66,655354,10229,620,1008,9066,0
65,307343,351,454,759,478,0
80,377749,7,4,13,18969,0
61,16551,1252,6,11,41362,0
42,1379,1472,2,3,913,0
45,2257,888,0,0,78212,0
44,1787,440,0,0,2404,0
66,80837,190,1,1,39304,0
83,86625,2275,2,2,116131,0
51,61549,49577,45,41,12175,0
64,28687,201,5,11,12357,0
62,29372,2197,0,3,18251,0
69,88441,582,19,54,5348,0
47,3825,112,0,5,3518,0
35,1634,146,1,3,29811,0
35,1722,211,2,5,33074,0
54,7483,305,9,35,6231,0
83,24299645,366,3026,5407,8085,0
51,4162,366,0,1,16867,0
67,80125,1727,5,20,12599,0
56,21469,499,18,64,3184,0
25,159,184,0,0,1507,0
87,1419680,643,98,167,6261,0
25,105,73,0,1,63,0
43,3987,2558,0,0,67856,0
40,346,599,0,0,1399,0
15,175,173,0,0,14897,0
22,296,761,0,0,8373,0
40,251,536,0,0,1283,0
24,1126,1138,0,0,1991,0
18,422,1627,0,1,412,0
45,2366,2250,3,4,933,0
63,51184,4020,2,7,48566,0
64,487943,509,0,2,16736,0
48,3567,933,1,1,14884,0
60,1920,299,0,0,12716,0
45,1001,1519,0,0,10045,0
49,32041,18762,8,3,5335,0
27,280,263,0,0,7749,0
36,565,96,0,0,90741,0
48,20721,17237,0,0,20844,0
43,2487,668,0,0,3324,0
18,286,277,0,0,7921,0
38,1375,1417,0,0,25415,0
21,812,474,0,0,9713,0
58,3151,2142,1,8,23472,0
70,820810,56982,117,127,21020,0
41,408,362,0,0,25739,0
14,94,157,0,0,343,0
25,2181,1800,0,0,66325,0
80,43164,11141,26,35,17866,0
33,364,22,0,0,3922,0
46,2151,913,0,2,40763,0
34,1011,275,0,0,51724,0
53,21300,398,118,120,35383,0
43,674,635,0,2,2825,0
19,300,509,0,0,5549,0
44,2180,1526,2,1,7911,0
47,1615,577,0,0,54121,0
35,965,108,1,8,2837,0
50,1599,2045,0,0,43197,0
41,2901,742,0,0,5593,0
52,10554,293,36,41,20899,0
34,322,473,0,0,6886,0
18,466,440,0,0,36300,0
53,6521,598,3,3,63670,0
43,1856,686,0,2,16485,0
49,1298,562,0,0,144550,0
16,86,150,0,1,184,0
19,122,54,0,0,4710,0
92,420392,1516,293,488,41878,0
78,1470603,656,95,225,19683,0
15,29,100,0,0,536,0
15,501,461,0,0,8546,0
20,142,606,0,0,1746,0
71,531366,714,46,122,15105,0
34,372,465,0,2,4105,0
32,720,498,0,0,30401,0
79,409288,1216,6,12,19521,0
30,546,798,0,0,2422,0
80,894072,908,11,25,10153,0
63,493560,1517,31,62,11983,0
40,440,179,0,1,4503,0
36,2031,2160,0,1,40143,0
81,981849,343,15,25,14535,0
86,1113513,1455,13,30,39307,0
73,261435,533,12,15,78012,0
65,2301335,435,42,90,8181,0
64,382902,30,22,43,17174,0
41,356,273,0,0,2533,0
43,1130,1016,0,1,2716,0
78,3890254,148,0,0,246142,0
80,188826,24279,7,14,36946,0
78,1109538,168429,291,519,57302,0
43,1504,705,0,5,32967,0
36,1751,417,0,0,15631,0
42,33850,35287,10,24,2361,0
38,722,95,0,1,4686,0
79,1579219,15876,1290,1394,28102,0
66,59794,524,50,69,6756,0
47,5373,395,10,18,35350,0
69,2864479,133,1019,1493,39141,0
44,594,257,0,0,39254,0
79,175248,57,172,394,10020,0
66,66218,363,8,24,9549,0
47,6992,2756,1,1,44340,0
47,18385,1817,5,10,11182,0
48,1430,389,0,2,4482,0
28,694,913,0,0,10925,0
85,2702155,285,3317,7142,39726,0
68,64463,998,56,52,48345,0
79,574485,3802,9,12,34938,0
73,252277,480,165,243,16318,0
